seed,total_patients,overall_average_service_time,overall_average_waiting_time,overall_average_system_time,doctor_mean_service_time,doctor_utilization,nurse_time,ctas1_patient_count,ctas1_mean_waiting,ctas1_mean_service,ctas1_mean_whole,ctas1_mean_nurse,ctas1_mean_bed,ctas2_patient_count,ctas2_mean_waiting,ctas2_mean_service,ctas2_mean_whole,ctas2_mean_nurse,ctas2_mean_bed,ctas3_patient_count,ctas3_mean_waiting,ctas3_mean_service,ctas3_mean_whole,ctas3_mean_nurse,ctas3_mean_bed,ctas4_patient_count,ctas4_mean_waiting,ctas4_mean_service,ctas4_mean_whole,ctas4_mean_nurse,ctas4_mean_bed,ctas5_patient_count,ctas5_mean_waiting,ctas5_mean_service,ctas5_mean_whole,ctas5_mean_nurse,ctas5_mean_bed
11,721,25.980580933805157,26.519859109151106,101.13845100179826,4704.133641695939,0.4666799247714226,21.007809440218622,5,3.669225526535956,78.18611151324185,160.08286297063023,3.669225526535962,78.22752593085161,113,8.810424966814411,42.34189678875838,124.14396028200588,7.094858931862475,72.99163852643306,399,24.024026064267208,25.970528909476112,113.50154357957898,19.087410013528437,63.506988605835616,186,41.99719655215837,16.187194715478125,63.878178689927125,32.912367188684996,5.6937874222905185,18,39.434961692842585,10.187483700984062,51.31579005545973,32.72158483173501,1.6933446616330705
12,594,24.96928051337603,25.766961571174324,100.76354466957595,3728.6275908473926,0.36990353083803496,24.34432618988575,3,8.06203455490322,21.797537827549263,146.10957332782587,8.062034554903002,116.25000094537323,100,7.959583138415055,37.886458657684244,121.99632773282097,7.032775242078981,76.15028593672174,337,22.316589173021807,25.756304470683254,109.05612471168699,20.70476082890058,60.9832310679819,141,45.100082482635145,15.387503765254259,68.80008114656367,43.807898217705656,8.31249489867418,13,46.58681341626372,9.861654474860261,58.681428535273184,44.511390837195066,2.232960644149329
13,673,23.94230269866022,26.370298948190857,92.01422674696084,4071.4595590660974,0.4039146387962398,22.812668331428384,6,3.0226739774655775,103.84753397577288,133.83622457027832,3.020068535190599,26.96601661703932,97,10.376714100751622,36.02101414126328,121.80673018973708,7.2207634962854055,75.4090019477221,397,24.225266307028395,24.058120899061823,96.71549225764727,21.03294519881257,48.43210505155708,159,40.41046119808592,14.27348710029324,63.08482566440377,36.88154945721018,8.400877366024584,14,48.55998757920069,12.534835340498878,62.91190842516504,30.010407791104683,1.8170855054654667
14,706,26.82193168010616,31.055748355139617,109.3102809282019,4788.911770038674,0.4750904533768526,23.884657617360432,10,3.1715351428949363,45.98534023443516,120.62691975292891,3.171535142894913,71.47004437559863,114,9.476300815862743,41.53525727327121,124.5856073017262,7.138379385073663,73.57404921259226,380,28.038953624335825,27.820989977806885,123.63976814578005,20.301028942715597,67.77982454363735,182,50.53540654402234,16.15725073075487,74.66509286328203,41.35863657025558,7.97243558850482,20,48.0549163015794,11.440760504683691,59.593555443536204,38.77074112553398,0.09787863727281912
15,693,24.843159340554003,25.471163990196832,99.83745613628625,4318.9640137202605,0.42846865215478774,22.904099536631076,4,2.3816294406337875,28.927042429425345,93.74381111864977,2.001448125885272,62.435139248590474,109,8.059923439902086,33.51228195191889,102.10740627901644,6.447425521912574,60.53520088719547,394,22.780465039758138,27.633523994992547,117.97841165308661,20.42938206610069,67.56442261833593,167,41.71234997063556,14.082003338531562,60.20276056982386,37.79143833382963,4.408407260656606,19,43.26277903861563,10.97155310343303,60.27996668854154,42.179950984215935,6.045634546492705
16,696,25.29004072159955,24.819903619072857,101.49658787342501,4439.295926406469,0.44040634190540373,21.8103557652632,9,3.4478539728691735,84.16573195841983,178.22811133880936,3.37850065057416,90.6145254075209,117,8.769333400111114,36.439323516474715,115.2258481639666,7.13473749266714,70.01719124738085,396,23.865244252613614,25.029568470009966,111.8960051238733,20.506130875905534,63.00119240124968,157,39.86924877176448,15.884517344914952,67.062531400086,37.19376153135045,11.3087652834066,17,29.85302612375691,10.317503876727825,42.14779198841846,20.881672520314744,1.9772619879337165
17,646,23.967086193163084,24.038990068998874,94.74864135761888,3892.2752956581794,0.38613842218831146,21.397470875843673,6,2.2614121661517856,69.82393905360203,119.70332002251234,2.2253176512754598,47.617968802758014,100,8.136906743826458,34.41892252926632,125.63273837009041,7.166474300212636,83.0769090969977,365,21.856447817113928,25.522666293894744,103.1563939760951,19.37253067808154,55.77727986508641,161,39.622094217361344,13.426108092699149,60.392767059362946,35.326628185774034,7.344564749302495,14,24.654843925139826,10.323228095640319,39.34351871753773,23.87185817547972,4.365446696757445
18,649,24.486877870018553,28.697069272663125,99.07041582720656,4053.7329123260442,0.4021560428894885,21.86229497697968,11,1.7609049120260765,47.863508781784645,87.34421084396458,1.7609049120257039,37.719797150153596,117,8.420750794725768,39.7797252195931,125.71913905384679,6.993341589893996,77.5186630395279,346,27.9909080786073,23.427792586482035,106.7369042301345,20.74985768775189,55.3182035650451,164,45.318394227301404,15.15641193036412,67.2535158869351,35.315135286411234,6.778709729269584,11,45.70266476978279,10.871772622501481,60.56625583540683,34.53687027966712,3.9918184431225536
19,629,25.60014194404962,28.12229216984812,112.60818636769449,4046.785027085244,0.4014667685600441,21.398819315612165,6,2.838016516788836,69.9583683628106,145.51997326156257,2.8380165167885933,72.72358838196361,98,12.291062215869362,38.17144927081583,130.74051934350078,7.9945312591515325,80.27800785681553,373,24.241951056619275,25.5094797672971,123.59673471136331,17.831618656911452,73.84530388744693,142,49.329114244203375,16.44248508977004,74.1607086111617,40.18442685646518,8.389109277188327,10,42.03876117826676,9.206820814122965,51.245581992389816,30.198281437644045,0.0
20,676,24.056431542959643,26.014776219056927,93.43217347957953,4107.144063452895,0.40745476819969195,22.15408735852515,7,5.92223053404762,41.001040035362315,120.35213132717321,5.897492956301197,73.42886075776289,108,9.119343251368887,38.67606831374969,123.26140019419628,6.8526532553319335,75.46598862907771,371,23.724523015714315,24.938096771714807,100.97656440464075,20.125311026475533,52.31394461721168,180,40.58029696938818,13.699283374447077,61.16408353740361,34.90600170213024,6.884503193568388,10,45.33925458764243,8.022015520155026,53.36127010779728,44.522335488717786,0.0
