seed,total_patients,overall_average_service_time,overall_average_waiting_time,overall_average_system_time,doctor_mean_service_time,doctor_utilization,nurse_time,ctas1_patient_count,ctas1_mean_waiting,ctas1_mean_service,ctas1_mean_whole,ctas1_mean_nurse,ctas1_mean_bed,ctas2_patient_count,ctas2_mean_waiting,ctas2_mean_service,ctas2_mean_whole,ctas2_mean_nurse,ctas2_mean_bed,ctas3_patient_count,ctas3_mean_waiting,ctas3_mean_service,ctas3_mean_whole,ctas3_mean_nurse,ctas3_mean_bed,ctas4_patient_count,ctas4_mean_waiting,ctas4_mean_service,ctas4_mean_whole,ctas4_mean_nurse,ctas4_mean_bed,ctas5_patient_count,ctas5_mean_waiting,ctas5_mean_service,ctas5_mean_whole,ctas5_mean_nurse,ctas5_mean_bed
1,663,26.79543681095645,228.1936164182447,314.20052762235605,8914.469836187265,0.8843720075582604,23.6972287136249,7,3.7332092465640017,60.63736938188979,101.36372160466479,3.551863854144613,36.99314297621127,91,16.876697272484066,38.600469871524076,159.92372654535063,6.706355000957953,104.44655940134244,396,190.82915993468572,28.550801797107994,292.0055965808047,21.08205765242428,72.62563484901104,153,375.3643714656573,15.166197377981048,395.2242321647949,41.84672533806868,4.693663321156544,16,1045.7099750245707,12.607784449771156,1059.3013049718866,20.317342373912588,0.9835454975448061
2,698,25.90577212314647,142.37883309330286,221.4541110494011,9112.47319357123,0.9040151977749236,21.56489983198866,6,2.479950008653759,29.363386036210546,96.01405446806318,2.479950008653917,64.17071842319955,112,21.029518743996668,37.660793564804685,144.54272304118018,7.538819522488538,85.85241073237869,390,128.49236975650243,28.475500060468566,222.1715392829172,20.482050575108303,65.20366946594616,173,233.32293956822244,13.992180514790327,257.0399158466873,33.157682866941784,9.724795763674631,17,384.314526435731,9.526323167022493,393.84084960275334,27.57610211083995,0.0
3,716,23.411842145571367,230.68766849366736,302.89090448007994,8486.720526118383,0.8419365601307919,22.60053910671419,8,3.158845603501277,54.206814231164685,114.51791900862213,3.0765378042671836,57.15225917395637,96,18.385953824334347,31.57576265372309,129.93195248440642,6.8319321735258685,79.97023600634903,421,189.5626101409444,25.512115497019916,274.9296622768281,19.47523242888359,59.85493663886374,173,428.9341652254944,13.741240503912207,451.5674873069049,38.39492234884424,8.892081577498368,18,520.5877142307548,10.006445344453807,534.0952052514481,36.67298835581629,3.5010456762391606
4,759,25.300361547949304,299.12133162625395,378.745813439458,9613.356604259105,0.9537060123272922,24.80476586023226,5,1.211372705534086,119.81347126559186,143.38201531802042,1.2113727055340362,22.357171346894507,106,20.07443995381172,42.29505656104517,159.42410704876787,6.752370205270524,97.05461053391109,422,268.0600287102084,26.206690571245627,363.3919918366618,20.179630704244083,69.1252725552078,207,465.5975732657457,13.892792927762127,487.2347382943137,43.716590889946396,7.744372100805917,19,810.4796538935663,9.76839505170305,823.326083936576,28.414247958949055,3.0780349913065437
5,747,25.34576752858214,555.2974189035965,637.9197678720018,9553.451468268155,0.9477630424869201,23.243598518629152,8,2.5700052071288155,71.57888908716308,128.62092291671183,2.5700052071287685,54.472028622421234,124,21.410032197195886,34.37009626078618,155.67955128188777,5.742537989325621,99.89942282390577,401,479.408356792976,26.877231545157084,578.1840575253713,20.913934927726622,71.8984691872382,192,897.7342480516403,15.956084190805917,919.1700655582154,39.80990818879013,5.479733315769334,22,2160.183690317228,11.701240026060931,2175.471600147559,27.288321037113136,3.5866698042701217
6,785,25.215633914534404,893.3137595900092,965.2493816650075,9968.238469077392,0.9889125465354556,22.827985022190788,6,3.032137927920909,85.14124546029451,114.59241773118386,3.032137927920633,26.419034342967986,112,19.33485125909983,40.453008690333206,134.92529064074725,6.899865793909095,75.13743069131407,438,751.4776217283332,26.14081588136512,838.7822714674609,19.18167906827797,61.16383385776249,215,1506.741773330315,14.74698979149928,1527.5888795533451,37.90052255010757,6.100116431530721,14,3283.637537610204,9.457715401439582,3293.095253011644,41.343047553967494,0.0
7,768,25.168578955617715,510.39271448892526,585.3377904883207,9720.354674788956,0.964320900276682,23.393085316958196,5,2.581489735618743,98.753981650021,201.15680132667148,2.5814897356185265,99.82132994103154,125,45.82951356970836,42.669973399992344,171.85912440491435,8.695550436165147,83.35963743521373,413,451.3532202370453,24.60726616215382,537.9741019148339,20.76264578393791,62.013615515634754,212,827.5410721266153,14.951516542923896,850.4059632485298,37.27045969538868,7.913374578990677,13,1876.340064143139,13.033047891989504,1890.913864482149,29.97908507972329,1.540752447019932
8,642,24.891433407486524,170.5560230721261,242.08618617203228,8024.83263763963,0.7961143489721855,22.719716279980954,3,1.401219834649358,33.1797129954385,88.94827394980773,1.2327002474609865,54.367341119720635,114,26.176094719855158,39.48685668756475,151.74750911072732,6.729251750900238,86.08455770330742,354,166.6269817237074,24.765340101121794,245.82827992446946,21.531142521930192,54.43595809964022,153,274.515999331053,15.890166871003975,294.9486086447014,37.11726241705614,4.542442442644258,18,306.76605149410966,10.06297328760715,316.829024781717,28.56996937943812,0.0
9,754,24.3553266438196,367.05644649944674,441.12865782060106,9262.341044472798,0.9188830401262695,21.32403176187444,6,3.180954059454052,54.5778498519823,101.33523580333895,3.0948241113281623,43.57643189190262,132,24.22300126494674,34.16026604526065,134.52405546362132,7.148783499320407,76.14078815341396,397,325.1516834362133,26.703765200565655,415.50272943140345,19.018191825722003,63.64728079462457,200,605.263849056638,13.483034359179266,628.2794731340294,35.5084603311336,9.53258971821225,19,1231.8974017762555,12.068021889119095,1243.9654236653748,24.431440044037497,0.0
10,719,26.442328622275493,407.6073009939189,488.1213103626467,9594.731407577592,0.951858274561269,22.867875579534637,9,1.5935813666168945,54.58340124046285,115.9464973576966,1.5935813666170093,59.76951475061782,120,27.50361923470908,37.91364137413796,154.75949857814615,7.846045514856599,89.34223796929909,412,384.4371908122441,27.54207350884941,473.9385197672064,20.955351698578347,61.95925544611283,168,714.4551362807404,15.056971943138752,741.8253173553352,38.92235655811867,12.313209131456071,10,1133.8287364354028,9.424113126209146,1145.5240385360812,31.35740460248406,2.2711889744693785
11,742,25.491130872463227,205.95377012516968,281.6704867529852,9501.311748153645,0.9425904512057187,24.282019348177144,5,3.6469841159636416,5.1842428938063465,101.93574070057767,3.646984115963636,93.10451369080808,106,20.316577487727972,36.61719290431807,132.9785847282305,6.868616672012742,76.04481433618456,416,177.54073985301227,29.008111027189372,272.18535551535837,22.156239449006975,65.63650463515671,193,334.1494244467778,14.103130366482535,355.10477590431185,37.31384024922721,6.852221091051492,22,559.005390977986,9.899868045411678,574.0801291862928,38.744694983932675,5.174870162895154
12,621,24.60546543949567,113.2382446683542,185.08263508830572,7681.134672369738,0.7620173286081089,23.020430470909936,5,3.5797629971151763,40.08103567031154,72.73485656394696,3.5797629971147904,29.074057896520554,82,20.92344948257982,40.12855981898382,150.45904334611205,9.15473719649001,89.40703404454842,357,89.4116060192886,25.747030640813612,172.57896863056317,19.672196096756455,57.42033197046089,155,188.40927071023776,15.610835474231287,212.79150501203642,38.245395585051526,8.771398827567372,22,339.27036170536155,8.076250779194284,347.346612484556,26.18589705055788,0.0
13,649,26.527996179730838,126.08660086804119,206.43584951301733,8694.823231629802,0.8625816698045439,21.76684748520791,8,3.4034011131916486,107.57815901371875,161.02240422831392,3.4034011131914124,50.0408441014029,104,23.569784096376715,42.59947623607332,124.57866992521664,7.32346304413122,58.409409592766536,378,125.95560349956394,25.290074410932785,224.00105427572984,19.071290589366743,72.7553763652331,152,195.185569658218,14.959984408912874,216.41894376073037,39.532715901665604,6.273389693599617,7,296.0420710779594,13.16185178522704,309.20392286318616,17.127998938708153,0.0
14,678,26.723256769459102,404.8386302214767,485.7903970464821,9230.446943460447,0.9157189428036159,22.70752615335902,10,3.9840884949140674,70.5273474506768,154.80458402258282,3.9840884949139976,80.29314807699217,123,40.20511734897117,42.223626612994735,159.6924089544705,6.927623943845711,77.26366499250454,358,370.21142438469474,26.673294551319913,466.76554850842456,19.256759140194177,69.88082957240978,168,686.1850037068486,14.557990567033912,709.3336523446545,39.5920221897156,8.590658070772005,19,1141.092127306175,11.831930376522237,1152.9240576826974,50.441294835448296,0.0
